Iteration,Alpha
102,"0.1878861205577364,0.1799245569265894,0.16551475571496474,0.1592343721047571,0.15383866499698162,0.15360152969897078"
103,"0.18826501160143722,0.17988838746808264,0.16543578158655212,0.15914400289007807,0.15373714964904578,0.1535296668048042"
104,"0.18798156982477784,0.180005602204127,0.1655902293991033,0.15909654182550925,0.15382466137625414,0.15350139537022844"
105,"0.18789113746341468,0.17961205096430083,0.16541253238361536,0.15937434624560443,0.15410381209018378,0.15360612085288103"
106,"0.18860553914310318,0.17985644914885934,0.16543256715823595,0.15916745838201943,0.1537275756626344,0.15321041050514767"
107,"0.18875502207486688,0.17977973001358638,0.1657497532423487,0.15924962841122323,0.1535316678858844,0.15293419837209035"
108,"0.1891853920881664,0.17984928533916214,0.16535875963281255,0.15925173298990622,0.15332816452358197,0.15302666542637075"
109,"0.1891636163388792,0.1802623532298554,0.1657392292103143,0.15925101252851,0.15291175659096545,0.15267203210147562"
110,"0.18973995959041776,0.180623319686746,0.16605917184178237,0.15906047362540957,0.15239002093699125,0.15212705431865303"
111,"0.19033743292979907,0.18084044447265377,0.16597384148734845,0.15889883232945448,0.15210967643442602,0.15183977234631826"
112,"0.19026074743260665,0.18081792492775633,0.16611242021009895,0.15889176818837902,0.15217301190413204,0.151744127337027"
113,"0.19035208501820725,0.18061672316381294,0.16640634677213095,0.15891641539964999,0.15212580273359932,0.1515826269125995"
114,"0.19079130965107566,0.18055158904371627,0.16638459006311052,0.15882513398652887,0.15196846336752637,0.15147891388804224"
115,"0.19106889564705454,0.18086188696291605,0.1663387844529912,0.15871083822010087,0.1517520798292512,0.15126751488768617"
116,"0.19145005285960628,0.18093133844219572,0.16563610147912194,0.15873783866039784,0.1518217447034286,0.15142292385524947"
117,"0.1916096362143697,0.18088007131715556,0.16547034233157315,0.15880083444423287,0.15189835910446764,0.15134075658820118"
118,"0.19144404682407637,0.18108326494382967,0.1654566978676165,0.15878679680306276,0.1518344937227543,0.15139469983866044"
119,"0.19116810997611,0.18115832912133928,0.16573535444589335,0.15882841940579376,0.1518992889783584,0.1512104980725052"
